Nivel Jerarquico Empleo,Nivel Educativo,Naturaleza Jurídica,Municipio de Nacimiento,Tipo de Nombramiento,Sector Administrativo,Random Forest,Tree,Random Forest (ADMINISTRATIVO),Random Forest (ASESOR),Random Forest (ASISTENCIAL),Random Forest (AUXILIAR),Random Forest (CONTROLADOR DE TRÁNSITO AÉREO),Random Forest (DIRECTIVO),Random Forest (DIRECTIVO DOCENTE),Random Forest (DOCENTE),Random Forest (EJECUTIVO),Random Forest (ESPECIALISTA),Random Forest (INSPECTOR DE SEGURIDAD AÉREA),Random Forest (NO APLICA),Random Forest (OPERATIVO),Random Forest (ORIENTADOR DE DEFENSA O ESPÍRITU),Random Forest (PERSONERO),Random Forest (PROFESIONAL),Random Forest (PROFESIONAL ESPECIALIZADO),Random Forest (PROFESOR TITULAR),Random Forest (PROFESOR UNIVERSITARIO),Random Forest (SECRETARIOS),Random Forest (TRABAJADOR OFICIAL),Random Forest (TÉCNICO),Tree (ADMINISTRATIVO),Tree (ASESOR),Tree (ASISTENCIAL),Tree (AUXILIAR),Tree (CONTROLADOR DE TRÁNSITO AÉREO),Tree (DIRECTIVO),Tree (DIRECTIVO DOCENTE),Tree (DOCENTE),Tree (EJECUTIVO),Tree (ESPECIALISTA),Tree (INSPECTOR DE SEGURIDAD AÉREA),Tree (NO APLICA),Tree (OPERATIVO),Tree (ORIENTADOR DE DEFENSA O ESPÍRITU),Tree (PERSONERO),Tree (PROFESIONAL),Tree (PROFESIONAL ESPECIALIZADO),Tree (PROFESOR TITULAR),Tree (PROFESOR UNIVERSITARIO),Tree (SECRETARIOS),Tree (TRABAJADOR OFICIAL),Tree (TÉCNICO),Fold,Nivel Entidad,Meses de Experiencia Independiente,Orden,valor total experiencia (Meses)
PROFESIONAL,POSTGRADO,ALCALDÍA,CALI,PROVISIONAL,NO APLICA,PROFESIONAL,PROFESIONAL,0,0.2275,0,0,0,0,0,0,0,0,0,0,0,0.325,0,0.430833,0,0,0,0,0,0.0166667,0,0.125,0,0,0,0.125,0,0,0,0,0,0,0,0.125,0,0.5,0,0,0,0,0,0.125,4,CENTRAL,0,NACIONAL,216
PROFESIONAL,POSTGRADO,ALCALDÍA,MANIZALES,ESCALAFONADO EN CARRERA,NO APLICA,PROFESIONAL,ASISTENCIAL,0,0,0.22881,0,0,0,0,0,0,0,0,0,0,0,0,0.458929,0,0,0,0,0,0.312262,0,0,0.375,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0,0,0,0,0,0.25,4,CENTRAL,0,TERRITORIAL,98
PROFESIONAL,PREGRADO,ALCALDÍA,BUCARAMANGA,LIBRE NOMBRAMIENTO Y REMOCIÓN,NO APLICA,PROFESIONAL,PROFESIONAL,0,0,0.0888889,0,0,0.05,0,0,0,0,0,0.0666667,0,0,0,0.661111,0,0,0,0,0,0.133333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,DESCENTRALIZADO,0,NACIONAL,290
TÉCNICO,POSTGRADO,ESPECIAL,PITALITO,PROVISIONAL,NO APLICA,PROFESIONAL,PROFESIONAL,0,0,0,0,0,0,0,0,0,0,0,0.27881,0,0.0142857,0,0.706905,0,0,0,0,0,0,0,0.111111,0,0,0,0.111111,0,0,0,0,0,0.111111,0,0,0,0.666667,0,0,0,0,0,0,4,DESCENTRALIZADO,0,NACIONAL,472
PROFESIONAL,PREGRADO,GOBERNACIÓN,DUITAMA,LIBRE NOMBRAMIENTO Y REMOCIÓN,TRABAJO,PROFESIONAL,PROFESIONAL,0,0.149134,0.137266,0,0,0,0,0,0,0,0,0,0,0,0,0.622367,0,0,0,0,0,0.0912338,0,0.125,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0.625,0,0,0,0,0,0.125,4,DESCENTRALIZADO,0,NACIONAL,234
PROFESIONAL,POSTGRADO,ENTE UNIVERSITARIO AUTÓNOMO,VERSALLES,PROVISIONAL,NO APLICA,PROFESIONAL,PROFESIONAL,0,0.179683,0,0,0,0,0,0,0,0,0,0.232183,0,0,0,0.588135,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0.7,0,0,0,0,0,0,4,CENTRAL,0,NACIONAL,423
PROFESIONAL,PREGRADO,ALCALDÍA,SAN PEDRO,LIBRE NOMBRAMIENTO Y REMOCIÓN,PRESIDENCIA DE LA REPÚBLICA,TÉCNICO,ASISTENCIAL,0,0,0.316667,0,0,0.223333,0,0,0,0,0,0,0,0,0,0.135,0,0,0,0,0,0.325,0,0,0.333333,0,0,0.333333,0,0,0,0,0,0,0,0,0,0.166667,0,0,0,0,0,0.166667,4,CENTRAL,0,TERRITORIAL,93
PROFESIONAL,POSTGRADO,PROCURADURÍA GENERAL DE LA NACIÓN,BUCARAMANGA,ESCALAFONADO EN CARRERA,NO APLICA,PROFESIONAL,PROFESIONAL,0,0,0.106508,0,0,0.153968,0,0,0,0,0,0,0,0,0,0.739524,0,0,0,0,0,0,0,0.111111,0.111111,0,0,0,0,0,0,0,0,0,0,0,0,0.777778,0,0,0,0,0,0,4,DESCENTRALIZADO,0,TERRITORIAL,410
DIRECTIVO,POSTGRADO,UNIDAD ADMINISTRATIVA ESPECIAL CON PERSONERÍA JURÍDICA,ITAGUI,PROVISIONAL,EDUCACIÓN,PROFESIONAL,PROFESIONAL,0,0.0928594,0.281552,0,0,0.106865,0,0,0,0,0,0,0,0,0,0.518724,0,0,0,0,0,0,0,0.166667,0.166667,0,0,0.0833333,0,0,0,0,0,0,0,0,0,0.583333,0,0,0,0,0,0,4,DESCENTRALIZADO,0,NACIONAL,381
ASISTENCIAL,POSTGRADO,INSTITUTO CIENTÍFICO Y TECNOLÓGICO,ARGELIA,LIBRE NOMBRAMIENTO Y REMOCIÓN,NO APLICA,PROFESIONAL,PROFESIONAL,0,0.141905,0,0,0,0.146667,0,0,0,0,0,0,0,0,0,0.489524,0,0,0,0,0,0.221905,0,0.166667,0,0,0,0.166667,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.166667,4,CENTRAL,0,NACIONAL,178
PROFESIONAL,POSTGRADO,MINISTERIO,BOGOTA,PROVISIONAL,NO APLICA,DIRECTIVO,PROFESIONAL,0,0,0,0,0,0.743333,0,0,0,0,0,0,0,0,0,0.256667,0,0,0,0,0,0,0,0,0,0,0,0.333333,0,0,0,0,0,0,0,0,0,0.666667,0,0,0,0,0,0,4,CENTRAL,0,TERRITORIAL,344
PROFESIONAL,POSTGRADO,ESTABLECIMIENTO PÚBLICO,RIO DE ORO,LIBRE NOMBRAMIENTO Y REMOCIÓN,HACIENDA Y CRÉDITO PÚBLICO,PROFESIONAL,PROFESIONAL,0,0.301905,0,0,0,0,0,0,0,0,0,0,0,0.175877,0,0.522219,0,0,0,0,0,0,0,0.272727,0,0,0,0,0,0,0,0,0,0,0,0.0909091,0,0.636364,0,0,0,0,0,0,4,CENTRAL,0,NACIONAL,259
PROFESIONAL,POSTGRADO,ALCALDÍA,SOCORRO,LIBRE NOMBRAMIENTO Y REMOCIÓN,HACIENDA Y CRÉDITO PÚBLICO,PROFESIONAL,PROFESIONAL,0,0,0.0869048,0,0,0,0,0,0,0,0,0,0,0,0,0.913095,0,0,0,0,0,0,0,0,0.166667,0,0,0.166667,0,0,0,0,0,0,0,0,0,0.666667,0,0,0,0,0,0,4,NO APLICA,0,TERRITORIAL,183
